productName,price,image,category,link,teint,color,type_peau
Rouge à lèvres Color Riche Matte - 131 Mistinguette,"5,00 €",https://www.sagacosmetics.com/15362-large_default/ral-color-riche-131.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-131.html,,rose,
Encre à lèvres matte Rouge signature - 132 I Radiate L'Oréal applicateur mousse et texture,"4,50 €",https://www.sagacosmetics.com/14944-large_default/encre-a-levres-matte-rouge-signature-132-i-radiate.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-matte-rouge-signature-132-i-radiate.html#/1256-couleur-132_i_radiate,,rose,
Rouge à lèvres Color riche Matte – 101 Candy Stiletto L'Oréal,"5,00 €",https://www.sagacosmetics.com/12549-large_default/ral-color-riche-matte-101.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-matte-101.html#/1029-couleur-101_candy_stiletto,,rose,
Rouge à lèvres Color riche Matte –  633 Moka chic,"5,00 €",https://www.sagacosmetics.com/12516-large_default/ral-color-riche-matte-633.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-matte-633.html#/1030-couleur-633_moka_chic,,rose,
Rouge à lèvres Color matte Hannibal Laguna - 104 Pink ready,"5,00 €",https://www.sagacosmetics.com/12560-large_default/ral-color-riche-matte-hannibal-laguna-06.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-matte-hannibal-laguna-06.html#/1035-couleur-104_pink_ready,,rose,
Rouge à lèvres Smile L'Oréal Paris x Isabel Marant -...,"4,50 €",https://www.sagacosmetics.com/12567-large_default/ral-isabel-marant-smile-st-germain-road.jpg,levres,https://www.sagacosmetics.com/ral-isabel-marant-smile-st-germain-road.html#/1037-couleur-saint_germain_road,,rose,
Rouge à lèvres - Liquid ultra matte - 828 Framboise Frenzy,"6,90 €",https://www.sagacosmetics.com/11317-large_default/ral-matte-les-macarons-828-nu.jpg,levres,https://www.sagacosmetics.com/ral-matte-les-macarons-828-nu.html#/788-couleur-828_framboise_frenzy,,rose,
Laque à lèvres Color Riche Extraordinaire - 102 Rose finale,"2,00 €",https://www.sagacosmetics.com/10526-large_default/laque-a-levres-color-riche-extra-n102.jpg,levres,https://www.sagacosmetics.com/laque-a-levres-color-riche-extra-n102.html#/634-couleur-laque_102_rose_finale,,rose,
Laque à lèvres Color Riche Extraordinaire - 401 Fuchsia drama,"2,00 €",https://www.sagacosmetics.com/10541-large_default/laque-a-levres-color-riche-extra-n401.jpg,levres,https://www.sagacosmetics.com/laque-a-levres-color-riche-extra-n401.html#/639-couleur-laque_401_fuchsia_drama,,rose,
Laque à lèvres Color Riche Extraordinaire - 201 Rose symphony,"2,00 €",https://www.sagacosmetics.com/10529-large_default/laque-a-levres-color-riche-extra-n201.jpg,levres,https://www.sagacosmetics.com/laque-a-levres-color-riche-extra-n201.html#/635-couleur-laque_201_rose_symphony,,rose,
Soin visage - Anti-âge - L'Oréal Paris,"7,90 €",https://www.sagacosmetics.com/18754-large_default/age-perfect-55-creme-de-soin-visage.jpg,soin-de-nuit,https://www.sagacosmetics.com/age-perfect-55-creme-de-soin-visage.html,,,anti_age
